date,close_to_close_20d,parkinson_20d,garman_klass_20d,rogers_satchell_20d,yang_zhang_20d,parkinson_c2c_ratio
2025-05-21,0.1755,0.1237,0.1217,0.1216,0.1509,0.7047
2025-05-22,0.1773,0.1242,0.122,0.1207,0.1488,0.7002
2025-05-23,0.1795,0.1262,0.1234,0.1217,0.1496,0.7031
2025-05-26,0.1765,0.1186,0.1145,0.1128,0.1428,0.672
2025-05-27,0.1752,0.1196,0.1178,0.1166,0.1453,0.6829
2025-05-28,0.1757,0.1192,0.117,0.1157,0.1447,0.6786
2025-05-29,0.1758,0.1194,0.1173,0.116,0.1452,0.679
2025-05-30,0.1765,0.1161,0.1125,0.1098,0.141,0.6578
2025-06-02,0.1761,0.1173,0.1141,0.1119,0.1427,0.666
2025-06-03,0.1776,0.1199,0.1164,0.1137,0.1446,0.6755
2025-06-04,0.1778,0.1186,0.1156,0.1132,0.1422,0.6673
2025-06-05,0.1771,0.1184,0.116,0.1135,0.1424,0.6685
2025-06-06,0.1741,0.1206,0.1171,0.113,0.1324,0.6926
2025-06-09,0.1176,0.1104,0.1117,0.1101,0.1157,0.939
2025-06-10,0.1054,0.1049,0.1068,0.1058,0.111,0.9948
2025-06-11,0.105,0.1036,0.1052,0.1042,0.1097,0.9866
2025-06-12,0.0966,0.0942,0.0947,0.0931,0.0996,0.9751
2025-06-13,0.0992,0.0968,0.0958,0.0934,0.1183,0.9765
2025-06-16,0.1043,0.0986,0.0966,0.0937,0.119,0.946
2025-06-17,0.0981,0.0953,0.0953,0.0935,0.1178,0.9717
2025-06-18,0.0966,0.0942,0.0939,0.0923,0.117,0.9744
2025-06-19,0.0919,0.0918,0.0913,0.0886,0.1138,0.9981
2025-06-20,0.0962,0.0932,0.0907,0.0872,0.1135,0.9683
2025-06-23,0.0963,0.0941,0.0922,0.0887,0.1164,0.9763
2025-06-24,0.0934,0.0929,0.0905,0.0873,0.1193,0.9948
2025-06-25,0.096,0.093,0.0906,0.0874,0.1201,0.9691
2025-06-26,0.1031,0.0947,0.0897,0.085,0.119,0.9188
2025-06-27,0.1018,0.0945,0.0894,0.0848,0.1188,0.9282
2025-06-30,0.1037,0.0938,0.0877,0.082,0.1168,0.9046
2025-07-01,0.0989,0.0893,0.0838,0.0788,0.1136,0.9036
2025-07-02,0.1005,0.0908,0.0854,0.0804,0.1151,0.9036
2025-07-03,0.1003,0.0891,0.0825,0.0772,0.1131,0.8876
2025-07-04,0.0952,0.0844,0.0786,0.0744,0.1107,0.887
2025-07-07,0.0945,0.0844,0.0788,0.0745,0.1087,0.8928
2025-07-08,0.0947,0.0841,0.0784,0.074,0.1076,0.8889
2025-07-09,0.0951,0.0839,0.078,0.0736,0.1073,0.8829
2025-07-10,0.089,0.0793,0.0738,0.0698,0.1044,0.8907
2025-07-11,0.0905,0.0772,0.0734,0.0703,0.0863,0.8526
2025-07-14,0.086,0.0749,0.0723,0.0703,0.0857,0.8708
2025-07-15,0.0859,0.0747,0.0722,0.0704,0.0856,0.8694
2025-07-16,0.0855,0.0736,0.0707,0.0683,0.0834,0.8614
2025-07-17,0.0869,0.0737,0.0701,0.0673,0.0829,0.8477
2025-07-18,0.0774,0.07,0.0696,0.0682,0.082,0.904
2025-07-21,0.0768,0.0699,0.069,0.0682,0.0775,0.9097
2025-07-22,0.0763,0.0657,0.0635,0.062,0.0682,0.8602
2025-07-23,0.0744,0.0658,0.0638,0.0625,0.0679,0.8843
2025-07-24,0.0631,0.0636,0.0633,0.063,0.0669,1.0069
2025-07-25,0.0668,0.065,0.0637,0.0629,0.0675,0.9738
2025-07-28,0.0679,0.0663,0.0661,0.0657,0.0703,0.9762
2025-07-29,0.072,0.0693,0.0676,0.0665,0.0729,0.9615
2025-07-30,0.0723,0.0675,0.066,0.0653,0.0722,0.934
2025-07-31,0.0727,0.0709,0.0705,0.0718,0.083,0.976
2025-08-01,0.0753,0.0732,0.0721,0.0725,0.0837,0.972
2025-08-04,0.0803,0.0746,0.0731,0.0733,0.0849,0.9286
2025-08-05,0.0792,0.0749,0.0738,0.0741,0.0852,0.9455
2025-08-06,0.0793,0.075,0.0738,0.0741,0.0852,0.9459
