date,spot_close,total_volume_lots,total_oi_lots_clean,volume_weighted_strike,vwks,oi_data_quality,oi_strikes_dropped_negative,oi_strikes_total
2025-05-08,24273.8,250082084.9,9207831.0,24289.28,1.00064,clean,0,1198
2025-05-09,24008.0,47123860.5,4925569.0,23982.39,0.99893,clean,0,1038
2025-05-12,24924.7,68553829.9,6251507.7,24555.93,0.9852,clean,0,1079
2025-05-13,24578.35,75797932.9,7405498.0,24691.71,1.00461,clean,0,1228
2025-05-14,24666.9,121303375.4,7988627.7,24625.41,0.99832,clean,0,1125
2025-05-15,25062.1,323623635.5,9294369.0,24797.99,0.98946,clean,0,1245
2025-05-16,25019.8,42874458.3,5487476.0,24920.61,0.99604,clean,0,921
2025-05-19,24945.45,43980058.9,6346428.0,24952.71,1.00029,clean,0,904
2025-05-20,24683.9,62896225.2,7341478.3,24893.67,1.0085,clean,0,952
2025-05-21,24813.45,119396982.4,7655805.3,24840.42,1.00109,clean,0,1187
2025-05-22,24609.7,289715823.2,8923839.0,24622.52,1.00052,clean,0,1194
2025-05-23,24853.15,49197826.2,5386546.3,24790.01,0.99746,clean,0,1094
2025-05-26,25001.15,46437429.5,6043168.7,24890.65,0.99558,clean,0,1039
2025-05-27,24826.2,63001336.1,6898918.0,24920.77,1.00381,clean,0,1126
2025-05-28,24752.45,75517137.8,7334981.0,24833.73,1.00328,clean,0,1091
2025-05-29,24833.6,212288370.8,7881458.3,24808.94,0.99901,clean,0,1092
2025-05-30,24750.7,36609435.6,4965129.0,24852.13,1.0041,clean,0,806
2025-06-02,24716.6,50868380.8,5848781.0,24776.63,1.00243,clean,0,1030
2025-06-03,24542.5,62637585.0,7041408.0,24747.49,1.00835,clean,0,1054
2025-06-04,24620.2,72338973.1,7485172.3,24688.52,1.00277,clean,0,888
2025-06-05,24750.9,277571603.3,8489832.6,24761.02,1.00041,clean,0,1074
2025-06-06,25003.05,56137774.1,5411641.7,24927.17,0.99697,clean,0,901
2025-06-09,25103.2,35021819.3,6177356.3,25068.22,0.99861,clean,0,811
2025-06-10,25104.25,44139779.4,6862038.0,25063.44,0.99837,clean,0,852
